"","GEOID","NAME","not_in_labor_force","over45","over100k","highschool_only","black","hispanic","totalVAPcitizens","STATE"
"26",30,"Montana",0.364945849846075,0.566890872387251,0.36626242982424,0.340871226969816,0.0047645232988224,0.0307515079564504,823797,26
"27",31,"Nebraska",0.306533858648612,0.540659643073733,0.412902409533263,0.341618368610763,0.0414135229523844,0.0619491962861497,1373561,27
"28",32,"Nevada",0.365721009509198,0.546147488113584,0.412311915547725,0.410110229150548,0.0971021671707048,0.197013236310827,2071272,28
"29",33,"New Hampshire",0.326547245683216,0.595506050414015,0.51914986756097,0.340219242515667,0.0121289891382607,0.0277039591701485,1065299,29
"30",34,"New Jersey",0.342412372032334,0.585497483911,0.553806874825415,0.364796763952222,0.136742371328605,0.152078494180021,6156380,30
"31",35,"New Mexico",0.424168480331382,0.551499067755454,0.333828231925374,0.396524972126012,0.0205649573972844,0.431996432460901,1511406,31
"32",36,"New York",0.36936584084169,0.555455638431555,0.479146915341912,0.382315112940675,0.151995885719898,0.149009705304299,13764741,32
"33",37,"North Carolina",0.376144526238722,0.557701071276669,0.376192580995299,0.369410012128047,0.218170873133437,0.0448387585091382,7636496,33
"34",38,"North Dakota",0.296929727314708,0.509462918317279,0.43449277439984,0.329923119441234,0.0194975767423913,0.028962265152883,564942,34
"35",39,"Ohio",0.36848028675439,0.566328149614524,0.38276584585941,0.420293735494324,0.116967033264862,0.0271086548266629,8855290,35
"36",40,"Oklahoma",0.38855211441493,0.535867870345308,0.3499871783627,0.42564556147767,0.0726213065966431,0.0600031304702253,2855801,36
"37",41,"Oregon",0.373776193206123,0.553308044002149,0.437281251008323,0.315171334168696,0.0172849039423686,0.079982175204229,3108030,37
"38",42,"Pennsylvania",0.372026087482949,0.579650876877769,0.426989694319176,0.431851931446481,0.103262546302228,0.0541528099571355,9778957,38
"39",44,"Rhode Island",0.350241026008944,0.562979389249606,0.471234297012514,0.387952034746483,0.0553707947704592,0.109100125531117,795022,39
"40",45,"South Carolina",0.395852126043809,0.567392354689221,0.360410322608274,0.405496059073753,0.264045842771347,0.0292668481536128,3849680,40
"41",46,"South Dakota",0.320740735348712,0.553007054167759,0.391890260378638,0.380029780575068,0.0122536895204748,0.024327496987751,644867,41
"42",47,"Tennessee",0.384997393899334,0.554931093376149,0.358446724797354,0.436010260122537,0.163070221004911,0.0253339078831381,5082240,42
"43",48,"Texas",0.351888410636971,0.500213549496198,0.429621938871823,0.403459518453564,0.132214508006451,0.305274212354911,18578831,43
"44",49,"Utah",0.311679280086738,0.443580155101582,0.494223821317692,0.298045675824952,0.00985120215008644,0.0909480227740935,2082893,44
"45",50,"Vermont",0.345702732929942,0.589254731187336,0.424101775904311,0.347552189717455,0.00924825740715051,0.0163392582495461,497391,45
"46",51,"Virginia",0.341745196040444,0.54702526724035,0.508366359193008,0.335466582440964,0.195234038983373,0.056984063989262,6198540,46
"47",53,"Washington",0.353350294726844,0.53943058893528,0.512519004949374,0.30099248601525,0.0359848034808673,0.07696376466538,5344645,47
"48",54,"West Virginia",0.462606339862065,0.593619992649761,0.305109399579154,0.523553415496441,0.0351376419733641,0.011934687877356,1428525,48
"49",55,"Wisconsin",0.338708771513196,0.568281088858483,0.417332265179662,0.376816558424436,0.056940596336019,0.0411996384738497,4392490,49
"50",56,"Wyoming",0.341255307021631,0.54597261557756,0.43652430423057,0.349738683719474,0.0087238748888843,0.0731261929864456,435357,50
